TotalMoney,GameName,Genre,PlayerNo,TournamentNo,Top_Country,Top_Country_Earnings
310,Acceleration of SUGURI 2,Fighting Game,6,2,United States,310
190075.61,Age of Empires,Strategy,246,95,Viet Nam,123408.43
1492489.51,Age of Empires II,Strategy,956,576,China,174252.44
68113.85,Age of Empires III,Strategy,106,76,United States,18523.52
2668,Age of Empires Online,Strategy,16,7,Germany,1264
52360,Age of Mythology,Strategy,22,6,"Taiwan, Republic of China",22000
20,Akatsuki Blitzkampf,Fighting Game,3,1,United States,20
40000,Aliens versus Predator 2,First-Person Shooter,1,1,United States,40000
11000,Among Us,Strategy,5,2,United States,10000
4273351.69,Apex Legends,Battle Royale,1099,170,United States,1825646.05
245,Aquapazza: Aquaplus Dream Match,Fighting Game,5,2,United States,128.5
1000,Arcana Heart 3,Fighting Game,4,1,United States,950
570,Arcana Heart 3: Love Max Six Stars!!!!!,Fighting Game,8,4,United States,464
410,Arcana Heart 3: LOVE MAX!!!!!,Fighting Game,6,2,United States,284
15228710.62,Arena of Valor,Multiplayer Online Battle Arena,558,51,China,5016882.31
18248.09,ARMS,Fighting Game,95,82,United States,11089.37
119168.54,Artifact,Collectible Card Game,275,166,China,26273.47
155,Artifact 2.0,Collectible Card Game,3,3,Russian Federation,60
29500,Asphalt 4,Racing,5,2,Singapore,13000
51520,Asphalt 9: Legends,Racing,5,2,Italy,17550
191851.7,Assetto Corsa,Racing,81,31,Czech Republic,68689.4
1649,Assetto Corsa Competizione,Racing,8,9,Denmark,354
10,Asuka 120% LimitOver BURNING Fest.,Fighting Game,3,1,France,10
108650,Attack on Titan Tribute Game,Fighting Game,21,15,Australia,35100
1076322.28,Auto Chess,Strategy,72,6,"Korea, Republic of",515267.34
185654.67,Battalion 1944,First-Person Shooter,114,21,United States,42650
0,Battalion 1944,First-Person Shooter,0,0,None,0
0,Battlefield 1,First-Person Shooter,0,0,None,0
91715.22,Battlefield 2,First-Person Shooter,0,12,None,0
18546.14,Battlefield 2142,First-Person Shooter,0,4,None,0
25407.46,Battlefield 3,First-Person Shooter,5,7,Netherlands,1422.18
245766.46,Battlefield 4,First-Person Shooter,204,145,France,42107
0,Battlefield 5,First-Person Shooter,0,0,None,0
13463.28,Battlefield Hardline,First-Person Shooter,20,1,France,5834.1
65173.45,Battlerite,Multiplayer Online Battle Arena,86,75,United States,22655
430,Beat Aim,First-Person Shooter,12,6,United States,220
