Top_Country 	 Top_Country_Earnings
United States 	 310
Viet Nam 	 123408.43
China 	 174252.44
United States 	 18523.52
Germany 	 1264
United States 	 20
United States 	 40000
United States 	 10000
United States 	 1825646.05
United States 	 128.5
United States 	 950
United States 	 464
United States 	 284
China 	 5016882.31
United States 	 11089.37
China 	 26273.47
Russian Federation 	 60
Singapore 	 13000
Italy 	 17550
Czech Republic 	 68689.4
Denmark 	 354
France 	 10
Australia 	 35100
United States 	 42650
None 	 0
None 	 0
None 	 0
None 	 0
Netherlands 	 1422.18
France 	 42107
None 	 0
France 	 5834.1
United States 	 22655
United States 	 220
United States 	 33000
Russian Federation 	 1689.79
United States 	 35
Japan 	 54782.9
Japan 	 35027.31
United States 	 4464.73
Canada 	 0
United States 	 4623
United States 	 47523.75
Sweden 	 15685.1
United Kingdom 	 25125
Spain 	 26600
United States 	 638671.59
None 	 0
Brazil 	 9.6
United States 	 36333.31
United States 	 7800
United Kingdom 	 104318.64
United States 	 2069853.35
United States 	 302375.01
United States 	 1046289.3
United States 	 4723999.52
United States 	 2254984.62
United States 	 429158.72
United States 	 1136779.78
United States 	 2703625
None 	 0
United States 	 4606600
United States 	 52650
United States 	 684635.7
United States 	 1147762.84
United States 	 3250438.02
United States 	 140
Japan 	 12814
Brazil 	 30500
United States 	 1443
United States 	 148
Japan 	 84
United States 	 303219.83
Norway 	 330170.48
China 	 268750
United States 	 514837.21
Germany 	 26782.92
Germany 	 2801.86
Bulgaria 	 500
Sweden 	 2837398.01
China 	 286759.6
Denmark 	 15379018.34
United States 	 748374.21
United States 	 90000
United States 	 79.8
China 	 2116121.6
None 	 0
Mexico 	 100.5
United States 	 19400.04
France 	 6386.38
United States 	 13125
United States 	 228250
Japan 	 0
Netherlands 	 0
United States 	 7347.04
United States 	 34568.23
Japan 	 15000
United States 	 170
China 	 454766.87
United States 	 60
United States 	 1215.05
United States 	 50000
United States 	 17033.59
United States 	 70
Finland 	 2500
United States 	 5820
None 	 0
United States 	 7000
China 	 144748.16
United States 	 1000
China 	 65060611.47
Russian Federation 	 12655.84
Japan 	 166119.31
Canada 	 204.06
None 	 0
United States 	 150
None 	 0
None 	 0
United States 	 28000.01
United States 	 21400
United States 	 1133.39
United States 	 79839.27
Sweden 	 76500
United Kingdom 	 56833.33
Italy 	 133333.32
France 	 1650
United States 	 242375
United States 	 3714.2
Germany 	 132590.48
Germany 	 37844.41
Germany 	 20000
Germany 	 30761.56
Canada 	 55000
United Kingdom 	 53473.11
Germany 	 65418.41
Germany 	 33692.39
Portugal 	 22000
Spain 	 20000
Sweden 	 150750.89
Denmark 	 21250
France 	 34394.05
Germany 	 35842.63
United Kingdom 	 382513.48
Saudi Arabia 	 525250
Germany 	 612962.72
United Kingdom 	 205613.04
United States 	 355.36
Japan 	 195
United States 	 1386.48
United States 	 33422756.37
United Kingdom 	 125000
United Kingdom 	 7000
Finland 	 132.37
United States 	 24050
United Kingdom 	 246033.36
Thailand 	 355385.22
United States 	 318.16
United States 	 664050
United States 	 4878.3
None 	 0
United States 	 2500
United States 	 2081425
United States 	 133500
None 	 0
United States 	 3250
France 	 40000
Malaysia 	 20160
None 	 0
Netherlands 	 11250
United Kingdom 	 218.75
United States 	 161799.53
United States 	 32
Japan 	 24055.2
Japan 	 22729.5
Japan 	 71752.66
United Kingdom 	 0
Japan 	 0
United States 	 7948.34
Saudi Arabia 	 0
United States 	 2681
Japan 	 7000.02
France 	 6000
United States 	 18250
None 	 0
United States 	 280
United Kingdom 	 20887.5
Germany 	 264979.87
United States 	 1255333.44
United States 	 1392257.62
United States 	 406262.5
United States 	 1993437.1
United States 	 419402.56
United States 	 5359312.23
United States 	 183416
None 	 0
United States 	 747862.6
United States 	 24040
China 	 3598395.2
Russian Federation 	 6933.57
Sweden 	 669252.19
Japan 	 145
United States 	 135116.66
United States 	 8750
United States 	 35
United States 	 637431.55
United States 	 34510
Azerbaijan 	 3000
United States 	 440371.79
None 	 0
None 	 0
None 	 0
United States 	 261.5
United States 	 166.25
Brazil 	 0
United States 	 389.5
United States 	 213827.07
United States 	 380
China 	 7399.51
United States 	 25
Mexico 	 13208.75
Japan 	 18483
United States 	 816
None 	 0
United States 	 48000
United Kingdom 	 861.28
United States 	 415335
Germany 	 9019.72
United States 	 9175
United States 	 125000
United States 	 1500
United States 	 100000
United States 	 100000
United States 	 100000
United States 	 100000
United States 	 209200
United States 	 50000
United States 	 1004000
United States 	 230567.66
United States 	 1229725
United States 	 446000
United States 	 130
United States 	 140
United States 	 1244.5
Germany 	 43.2
United States 	 39060
United States 	 17767
United States 	 42052.42
None 	 0
Japan 	 0
United States 	 5755.82
Japan 	 2000.04
Japan 	 7000
United States 	 119775
United States 	 225
None 	 0
United States 	 7885
United States 	 271196.3
United States 	 136719.5
United States 	 0
United States 	 411599.58
United States 	 81834.47
France 	 148384.38
United States 	 10985
United States 	 1200
United States 	 200
United States 	 200500
None 	 0
None 	 0
None 	 0
United States 	 940633.24
None 	 0
Brazil 	 12000
Russian Federation 	 30416.72
Russian Federation 	 22000
Netherlands 	 6000
Germany 	 20000
Brazil 	 30000
Canada 	 2633.34
Finland 	 702.95
United States 	 70000
Canada 	 723.17
Finland 	 391.9
None 	 0
Finland 	 52500
United States 	 17200
United States 	 1718
United Kingdom 	 170313.7
United States 	 8975.5
None 	 0
United States 	 299225
United States 	 566877.41
Brazil 	 24
United States 	 2751
Japan 	 14777.5
Azerbaijan 	 13050.42
China 	 914193.07
United States 	 60
Russian Federation 	 212436.26
None 	 0
United States 	 82250
Japan 	 36043.89
United States 	 10703.46
Spain 	 45
United States 	 1387
Sweden 	 4178.55
France 	 1390.1
Germany 	 775.32
None 	 0
Greece 	 17646.15
France 	 17311.8
France 	 16953.63
Brazil 	 206000
Italy 	 108000
Brazil 	 93400
France 	 10000
Saudi Arabia 	 13000
France 	 22000
Germany 	 13000
France 	 30590
France 	 12050
Netherlands 	 25000
United States 	 200000
Netherlands 	 13854.23
Japan 	 132
United States 	 164361.47
United States 	 20
United States 	 10400
United States 	 300
Japan 	 1462.6
United States 	 1672.83
Sweden 	 231225.67
United States 	 675806.05
United States 	 100600
United States 	 534686.05
United States 	 235711.84
United States 	 36325
Germany 	 45210.29
United States 	 50000
United States 	 5000
United States 	 2959315.46
United States 	 53737.32
None 	 0
United States 	 208250
Netherlands 	 932.74
United States 	 18833.34
Netherlands 	 4210.55
Netherlands 	 281543.31
United States 	 17500
United States 	 1000
United States 	 35145.9
United States 	 95700
United States 	 2894739.17
Canada 	 30
None 	 0
Germany 	 25836.34
None 	 0
United States 	 1853.11
United States 	 30
United States 	 432.74
United States 	 70
None 	 0
United States 	 7456
None 	 0
Japan 	 1633309.47
None 	 0
Russian Federation 	 777.66
France 	 103365.62
United States 	 60
United States 	 35
United States 	 300
United States 	 16416.4
United States 	 8433.4
Canada 	 180
United States 	 490
United States 	 3512644.34
Japan 	 365.5
None 	 0
United States 	 3590
United States 	 860
United States 	 100260
United States 	 37730
United States 	 59002.2
None 	 0
United States 	 30
Japan 	 180
United States 	 1270
United States 	 45125
None 	 0
United States 	 38650
United States 	 1217.5
United States 	 300
United States 	 214
Japan 	 27154
Japan 	 3792.96
United States 	 729298.52
Japan 	 912761.05
Japan 	 32628.66
None 	 0
Canada 	 220
United States 	 30482.95
United States 	 197341.12
United States 	 877229.51
United States 	 2420764.48
United States 	 701269.25
United States 	 15479.09
United States 	 14360
United States 	 9315
Japan 	 160296.98
None 	 0
None 	 0
United States 	 1030
United States 	 348503.14
United States 	 233175
United States 	 820
None 	 0
United States 	 0
United States 	 10250
United States 	 11335
United States 	 56523.74
United Kingdom 	 0
United States 	 1454.01
United States 	 13065.13
Canada 	 170
United States 	 13125
United States 	 5000
United States 	 18
United States 	 565
United States 	 1085.51
None 	 0
France 	 26544.08
Germany 	 6127.32
France 	 63229.78
Germany 	 378.46
France 	 34381.66
Sweden 	 45848.68
France 	 510.22
France 	 1027.5
None 	 0
None 	 0
United States 	 800000
United States 	 100
United States 	 100625.35
United States 	 150
United States 	 288
Japan 	 460748.79
United States 	 140
Canada 	 38210.8
United States 	 5273.28
United States 	 22557.44
United States 	 715
United States 	 14900
Germany 	 40000
United Kingdom 	 976.55
United States 	 39000
Germany 	 48947.2
Portugal 	 42520.51
United States 	 216009.95
United States 	 324655.6
United States 	 7488.9
United Kingdom 	 0
Japan 	 26250
United States 	 413.91
China 	 137680.86
Russian Federation 	 89448.6
Germany 	 450
Sweden 	 183
United States 	 2958
Italy 	 7000
Estonia 	 49392.32
United Kingdom 	 62120.63
Russian Federation 	 1290113.15
Russian Federation 	 8500.03
United States 	 1416887.48
United States 	 43500
Netherlands 	 1881.44
United States 	 19983.28
Poland 	 65000
